File path,File type,SEO relevance,Important SEO strings found,Routes affected,Notes
app/(admin)/admin/orders/[id]/packing-slip/page.tsx,.tsx,page,"L127: Final product condition, packaging, and tracking details should be",/admin/orders/[id]/packing-slip,134 text lines scanned
app/(admin)/admin/orders/[id]/packing-slip/print-controls.tsx,.tsx,other,,/admin/orders/[id]/packing-slip,14 text lines scanned
app/(admin)/layout.tsx,.tsx,metadata,"L5: import { ADMIN_METADATA } from ""@/lib/seo/route-metadata""; | L7: export const metadata = ADMIN_METADATA;",,16 text lines scanned
app/(site)/.DS_Store,[none],other,,,Binary/media filename inventoried; content not parsed
app/(site)/404/page.tsx,.tsx,metadata,"L1: import type { Metadata } from ""next""; | L4: import { CUSTOMER_NOINDEX_FOLLOW_ROBOTS } from ""@/lib/seo/route-metadata""; | L6: export const metadata: Metadata = { | L7: title: ""This piece isn't in the trunk"", | L8: robots: CUSTOMER_NOINDEX_FOLLOW_ROBOTS,",/404,14 text lines scanned
app/(site)/[...slug]/page.tsx,.tsx,metadata,"L27: import type { Metadata } from ""next""; | L65: }: CmsPageProps): Promise<Metadata> {",/[...slug],175 text lines scanned
app/(site)/account/.DS_Store,[none],other,,,Binary/media filename inventoried; content not parsed
app/(site)/account/addresses/page.tsx,.tsx,page,,/account/addresses,642 text lines scanned
app/(site)/account/layout.tsx,.tsx,metadata,"L1: import type { Metadata } from ""next""; | L5: import { CUSTOMER_NOINDEX_FOLLOW_ROBOTS } from ""@/lib/seo/route-metadata""; | L7: export const metadata: Metadata = { | L8: title: ""Account"", | L9: robots: CUSTOMER_NOINDEX_FOLLOW_ROBOTS,",,15 text lines scanned
app/(site)/account/loading.tsx,.tsx,other,,,21 text lines scanned
app/(site)/account/orders/[id]/loading.tsx,.tsx,other,,,46 text lines scanned
app/(site)/account/orders/[id]/page.tsx,.tsx,page,,/account/orders/[id],250 text lines scanned
app/(site)/account/orders/page.tsx,.tsx,page,,/account/orders,329 text lines scanned
app/(site)/account/page.tsx,.tsx,page,"L1: import { redirect } from ""next/navigation""; | L4: redirect(""/account/profile"");",/account,6 text lines scanned
app/(site)/account/profile/page.tsx,.tsx,page,"L105: description: | L282: A verification link is sent before your account email changes. | L290: the verification link. | L331: : ""Send verification link""}",/account/profile,388 text lines scanned
app/(site)/account/profile/verify-email/page.tsx,.tsx,page,"L38: message: json?.message ?? ""The verification link is invalid or has expired."", | L74: <h2 className=""font-serif text-2xl text-foreground"">Verification failed</h2> | L75: <p className=""text-sm text-destructive"">No verification token provided.</p> | L107: <h2 className=""font-serif text-2xl text-foreground"">Verification failed</h2>",/account/profile/verify-email,115 text lines scanned
app/(site)/account/sign-in/page.tsx,.tsx,page,"L19: twitter: ""Continue with X"", | L71: title=""Open your trunk."" | L90: redirect: false, | L190: title=""Open your trunk.""",/account/sign-in,239 text lines scanned
app/(site)/account/sign-up/page.tsx,.tsx,page,"L16: title=""Join the trunk.""",/account/sign-up,33 text lines scanned
app/(site)/account/wishlist/page.tsx,.tsx,page,"L9: import { ProductCard } from ""@/components/product/product-card""; | L12: import type { Product } from ""@/types/domain""; | L14: const fetchWishlist = async (): Promise<Product[]> => { | L25: const products = (await productsResponse.json()) as Product[]; | L26: const productById = new Map(products.map((product) => [product.id, product])); | L30: .filter((product): product is Product => Boolean(product)); | L115: {items.map((product) => ( | L116: <ProductCard key={product.id} product={product} />",/account/wishlist,138 text lines scanned
app/(site)/authentication/page.tsx,.tsx,metadata,"L1: import type { Metadata } from ""next""; | L4: import { publicPageMetadata } from ""@/lib/seo/metadata""; | L6: export const metadata: Metadata = publicPageMetadata({ | L7: title: ""Saree Authentication & Provenance | From The Trunk"", | L8: description: | L68: product page, so there are no surprises when it arrives. | L92: you receive. Every order is packed with its verification record and",/authentication,127 text lines scanned
app/(site)/blouses/page.tsx,.tsx,metadata,"L1: import type { Metadata } from ""next""; | L7: } from ""@/components/seo/keyword-product-landing-page""; | L11: } from ""@/lib/seo/keyword-landing-pages""; | L17: export async function generateMetadata(): Promise<Metadata> { | L18: if (!config) return { title: ""Blouses"" }; | L19: // Robots come from keywordLandingMetadata: indexable when blouses are in stock, | L20: // noindex (but still rendered) when the edit is empty — so it never 404s.",/blouses,31 text lines scanned
app/(site)/cart/loading.tsx,.tsx,other,,,27 text lines scanned
app/(site)/cart/page.tsx,.tsx,metadata,"L1: import type { Metadata } from ""next""; | L5: import { CUSTOMER_NOINDEX_FOLLOW_ROBOTS } from ""@/lib/seo/route-metadata""; | L7: export const metadata: Metadata = { | L8: title: ""Shopping Bag"", | L9: robots: CUSTOMER_NOINDEX_FOLLOW_ROBOTS,",/cart,26 text lines scanned
app/(site)/checkout/confirmation/clear-cart-on-confirmation.tsx,.tsx,other,,/checkout/confirmation,17 text lines scanned
app/(site)/checkout/confirmation/confirmation-analytics.tsx,.tsx,other,,/checkout/confirmation,59 text lines scanned
app/(site)/checkout/confirmation/page.tsx,.tsx,metadata,"L1: import type { Metadata } from ""next""; | L21: import { CUSTOMER_NOINDEX_FOLLOW_ROBOTS } from ""@/lib/seo/route-metadata""; | L39: export const metadata: Metadata = { | L40: title: ""Order Confirmed"", | L41: robots: CUSTOMER_NOINDEX_FOLLOW_ROBOTS, | L215: helper={isPaid ? ""Payment is recorded."" : isFailed ? ""No paid receipt has been generated."" : ""Verification is in progress.""}",/checkout/confirmation,432 text lines scanned
app/(site)/checkout/confirmation/payment-status-poller.tsx,.tsx,other,,/checkout/confirmation,84 text lines scanned
app/(site)/checkout/confirmation/receipt/route.ts,.ts,other,"L30: ""X-Robots-Tag"": ""noindex, nofollow"",",/checkout/confirmation/receipt,38 text lines scanned
app/(site)/checkout/loading.tsx,.tsx,other,,,21 text lines scanned
app/(site)/checkout/page.tsx,.tsx,metadata,"L1: import type { Metadata } from ""next""; | L5: import { CUSTOMER_NOINDEX_FOLLOW_ROBOTS } from ""@/lib/seo/route-metadata""; | L7: export const metadata: Metadata = { | L8: title: ""Checkout"", | L9: robots: CUSTOMER_NOINDEX_FOLLOW_ROBOTS,",/checkout,20 text lines scanned
app/(site)/collection/[slug]/loading.tsx,.tsx,other,,,63 text lines scanned
app/(site)/collection/[slug]/opengraph-image.tsx,.tsx,other,"L2: * P5-06: Per-product opengraph-image route. | L4: * Served at /collection/[slug]/opengraph-image (Next.js App Router convention). | L5: * Uses real per-product data (name, price, first image) via getProductBySlug. | L6: * Falls back to the site-level OG image if the product is not found. | L8: * Per-product OG data extraction is a tested pure function (lib/seo/og-data.ts), | L9: * tested in tests/unit/aeo-schema-completeness.test.ts. | L14: * app/(site)/opengraph-image.tsx). | L20: import { extractPdpOgData } from ""@/lib/seo/og-data""; | L21: import { isSeoEligibleProduct } from ""@/lib/seo/product-indexing""; | L23: import type { Product } from ""@/types/domain""; | L26: export const alt = ""From The Trunk product""; | L39: const product = rawProduct as Product | null;",,187 text lines scanned
