Priority,Task,Files likely affected,Routes affected,Expected SEO impact,Risk,Effort estimate,Should do before production?,Notes
High,Add the route only after confirming durable content and canonical indexability.,app/(site)/collection/fabric/[fabric]/page.tsx | lib/seo/metadata.ts | lib/products/sort.ts | components/seo/keyword-product-landing-page.tsx | lib/seo/json-ld.ts | lib/products/display-details.ts | components/product/product-card.tsx | lib/products/product-type.ts | components/product/product-card-commerce-row.tsx | components/product/wishlist-button.tsx | lib/realtime/use-live-product-stock.ts,/collection/fabric/chiffon,"XML sitemaps should list canonical, indexable, successful URLs only.",Low when covered by existing tests and recrawl,Low,yes,Source issue RND-047: Canonical indexable page is missing from the sitemap.
High,Emit the intended noindex directive at page or response-header level.,app/(site)/[...slug]/page.tsx | lib/content/blocks/faq.tsx | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/content/blocks/product-grid.tsx | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | lib/products/sort.ts | components/product/product-card.tsx | lib/products/product-type.ts | components/product/product-card-commerce-row.tsx | components/product/wishlist-button.tsx | lib/realtime/use-live-product-stock.ts,/admin,Robots directives control eligibility and crawler behavior.,Low when covered by existing tests and recrawl,Low,yes,Source issue RND-049: Utility/private/query page is indexable.
High,"Allow these utility pages to be crawled while retaining noindex, follow metadata; keep admin/API protections separate.",app/robots.ts:11; lib/seo/route-metadata.ts:5,"/account, /cart, /checkout, /search",Robots blocking is not a substitute for noindex and can leave URL-only index entries while suppressing link discovery.,Low when covered by existing tests and recrawl,Low,yes,"Source issue SRC-001: robots.txt disallows customer utility pages whose metadata intends noindex, follow."
High,"Link the relevant labels to /top-viewed, /blouses, and eligible canonical fabric/occasion landing pages.",components/layout/site-header-nav.tsx:10; components/sections/fabric-category-section.tsx:19; app/(site)/collection/page.tsx:119,Header and homepage category links,Internal authority and crawl discovery are sent to URLs intentionally canonicalized away and noindexed.,Low when covered by existing tests and recrawl,Low,yes,Source issue SRC-002: Primary internal links point to noindex collection query variants instead of dedicated canonical landing pages.
High,"Make sitemap inclusion use the same product-count eligibility decision as metadata, with explicit route policy overrides only where intentional.",lib/seo/keyword-landing-pages.ts:439; app/sitemap.ts:143,/collection/fabric/* and /collection/occasion/*,Indexable landing pages can lack XML discovery even when they meet the intended quality threshold.,Low when covered by existing tests and recrawl,Low,yes,Source issue SRC-003: Some keyword pages can become indexable at the product threshold but remain permanently excluded from the sitemap.
High,"Replace every placeholder with approved legal entity, jurisdiction, officer, contact, hours, and address details before launch.",lib/legal/policies.ts:5; lib/legal/policies.ts:646,/policies/*,"Visible placeholders undermine legal clarity, trust, and answer-engine reliability on sitemap-listed pages.",Requires approved business/legal input,Low after inputs,yes,Source issue SRC-004: Indexable legal pages contain unresolved bracketed business placeholders.
Medium,Derive lastmod from maintained content timestamps or a route-specific audited constant.,app/sitemap.ts:16,/policies/* and static pages,Stale or synthetic freshness signals reduce sitemap accuracy.,Low when covered by existing tests and recrawl,Low,recommended,"Source issue SRC-005: Static, policy, and keyword sitemap lastmod values use one synthetic 2026-04-27 date."
Medium,"Choose and document a sold-product retention policy, then reuse one eligibility function across metadata, sitemap, and llms.txt.",lib/seo/product-indexing.ts:98; lib/seo/product-indexing.ts:128,Sold product PDPs,A sold PDP may remain indexable but disappear from maintained discovery surfaces.,Requires approved business/legal input,Medium,decision required,Source issue SRC-006: Sold-product page indexability can diverge from sitemap and llms.txt eligibility.
Medium,Feed Product JSON-LD the same effective availability calculation used by the rendered PDP.,db/inventory.ts:26; lib/seo/json-ld.ts:54,Reserved product PDPs,Structured data should match visible product facts.,Low when covered by existing tests and recrawl,Medium,recommended,Source issue SRC-007: Product Offer availability can disagree with the visible availability after a reservation expires.
Medium,"Include only published, SEO-complete CMS pages in the sitemap and validate their metadata before publish.",app/(site)/[...slug]/page.tsx:137; app/sitemap.ts:18,/[...slug],Future published CMS pages can become indexable without XML discovery and with optional metadata fields.,Low when covered by existing tests and recrawl,Medium,recommended,Source issue SRC-008: Published CMS catch-all pages are not included by sitemap aggregation.
