Route/URL,Route file,Page/component file,Route group,Exists in app router?,Exists in sitemap?,Exists in nav?,Exists in footer?,Public/private/utility/admin,HTTP status in production build,Redirect target,Canonical,Robots,Indexability verdict,Notes
/admin/orders/[id]/packing-slip,app/(admin)/admin/orders/[id]/packing-slip/page.tsx,app/(admin)/admin/orders/[id]/packing-slip/page.tsx,(admin),yes,no,no,no,admin/private,404,,,noindex,not indexable,Representative URL: /admin/orders/seo-audit-placeholder/packing-slip
/404,app/(site)/404/page.tsx,app/(site)/404/page.tsx,(site),yes,no,no,no,utility page,404,,,noindex,not indexable,
/[...slug],app/(site)/[...slug]/page.tsx,app/(site)/[...slug]/page.tsx,(site),yes,yes,yes,yes,collection page,200,,https://www.fromthetrunk.shop/collection,"index, follow",indexable,Representative URL: /collection
/account/addresses,app/(site)/account/addresses/page.tsx,app/(site)/account/addresses/page.tsx,(site),yes,no,no,no,redirect,307,/account/sign-in?callbackUrl=http%3A%2F%2Flocalhost%3A3100%2Faccount%2Faddresses,,"noindex, follow",not indexable,
/account/orders/[id],app/(site)/account/orders/[id]/page.tsx,app/(site)/account/orders/[id]/page.tsx,(site),yes,no,no,no,utility page,dynamic pattern; representative checked,,,,not determined,Representative URL: none available
/account/orders,app/(site)/account/orders/page.tsx,app/(site)/account/orders/page.tsx,(site),yes,no,no,no,redirect,307,/account/sign-in?callbackUrl=http%3A%2F%2Flocalhost%3A3100%2Faccount%2Forders,,"noindex, follow",not indexable,
/account,app/(site)/account/page.tsx,app/(site)/account/page.tsx,(site),yes,no,no,no,utility page,200,,,"noindex, follow",not indexable,
/account/profile,app/(site)/account/profile/page.tsx,app/(site)/account/profile/page.tsx,(site),yes,no,no,no,redirect,307,/account/sign-in?callbackUrl=http%3A%2F%2Flocalhost%3A3100%2Faccount%2Fprofile,,"noindex, follow",not indexable,
/account/profile/verify-email,app/(site)/account/profile/verify-email/page.tsx,app/(site)/account/profile/verify-email/page.tsx,(site),yes,no,no,no,redirect,307,/account/sign-in?callbackUrl=http%3A%2F%2Flocalhost%3A3100%2Faccount%2Fprofile%2Fverify-email,,"noindex, follow",not indexable,
/account/sign-in,app/(site)/account/sign-in/page.tsx,app/(site)/account/sign-in/page.tsx,(site),yes,no,yes,no,utility page,200,,,"noindex, follow",not indexable,
/account/sign-up,app/(site)/account/sign-up/page.tsx,app/(site)/account/sign-up/page.tsx,(site),yes,no,no,no,utility page,200,,,"noindex, follow",not indexable,
/account/wishlist,app/(site)/account/wishlist/page.tsx,app/(site)/account/wishlist/page.tsx,(site),yes,no,yes,no,redirect,307,/account/sign-in?callbackUrl=http%3A%2F%2Flocalhost%3A3100%2Faccount%2Fwishlist,,"noindex, follow",not indexable,
/authentication,app/(site)/authentication/page.tsx,app/(site)/authentication/page.tsx,(site),yes,yes,no,no,public SEO page,200,,https://www.fromthetrunk.shop/authentication,"index, follow",indexable,
/blouses,app/(site)/blouses/page.tsx,app/(site)/blouses/page.tsx,(site),yes,yes,no,no,collection page,200,,https://www.fromthetrunk.shop/blouses,"index, follow",indexable,
/cart,app/(site)/cart/page.tsx,app/(site)/cart/page.tsx,(site),yes,no,no,no,utility page,200,,,"noindex, follow",not indexable,
/checkout/confirmation,app/(site)/checkout/confirmation/page.tsx,app/(site)/checkout/confirmation/page.tsx,(site),yes,no,no,no,utility page,200,,,"noindex, follow",not indexable,
/checkout,app/(site)/checkout/page.tsx,app/(site)/checkout/page.tsx,(site),yes,no,no,no,utility page,200,,,"noindex, follow",not indexable,
/collection/[slug],app/(site)/collection/[slug]/page.tsx,app/(site)/collection/[slug]/page.tsx,(site),yes,yes,no,no,product page,200,,https://www.fromthetrunk.shop/collection/tangerine-noir-floral-border-weave,"index, follow",indexable,Representative URL: /collection/tangerine-noir-floral-border-weave
