URL,Title,Title length,Title source,Meta description,Meta length,Meta source,Meta keywords,Robots,Canonical,Open Graph title,Open Graph description,Twitter title,Twitter description,Google verification tag if present,Other meta tags,Issues
/,Authenticated Pre-Loved Luxury Sarees | From The Trunk,54,app/(site)/page.tsx,"Shop authenticated pre-loved & vintage luxury sarees with provenance — heirloom silks, designer drapes and restored weaves, each with its own story.",148,app/(site)/page.tsx,,"index, follow",https://www.fromthetrunk.shop,Authenticated Pre-Loved Luxury Sarees | From The Trunk,"Shop authenticated pre-loved & vintage luxury sarees with provenance — heirloom silks, designer drapes and restored weaves, each with its own story.",Authenticated Pre-Loved Luxury Sarees | From The Trunk,"Shop authenticated pre-loved & vintage luxury sarees with provenance — heirloom silks, designer drapes and restored weaves, each with its own story.",,"{""name"":"""",""content"":""""} | {""name"":""viewport"",""content"":""width=device-width, initial-scale=1""} | {""name"":""next-size-adjust"",""content"":""""} | {""name"":""theme-color"",""content"":""#4b2626""}",
/collection,Pre-Loved & Vintage Luxury Sarees – Shop All | From The Trunk,61,app/(site)/collection/page.tsx,"Browse our full collection of authenticated pre-loved sarees — silk, chiffon, Banarasi and designer drapes. One-of-a-kind pieces, new arrivals weekly.",150,app/(site)/collection/page.tsx,,"index, follow",https://www.fromthetrunk.shop/collection,Pre-Loved & Vintage Luxury Sarees – Shop All | From The Trunk,"Browse our full collection of authenticated pre-loved sarees — silk, chiffon, Banarasi and designer drapes. One-of-a-kind pieces, new arrivals weekly.",Pre-Loved & Vintage Luxury Sarees – Shop All | From The Trunk,"Browse our full collection of authenticated pre-loved sarees — silk, chiffon, Banarasi and designer drapes. One-of-a-kind pieces, new arrivals weekly.",,"{""name"":"""",""content"":""""} | {""name"":""viewport"",""content"":""width=device-width, initial-scale=1""} | {""name"":""next-size-adjust"",""content"":""""} | {""name"":""theme-color"",""content"":""#4b2626""}",
/top-viewed,Most-Viewed Pre-Loved Sarees – Top Picks | From The Trunk,57,app/(site)/top-viewed/page.tsx,"Our most-viewed pre-loved sarees this week — authenticated silk, chiffon and designer drapes shoppers keep coming back to. One-of-a-kind, updated often.",152,app/(site)/top-viewed/page.tsx,,"index, follow",https://www.fromthetrunk.shop/top-viewed,Most-Viewed Pre-Loved Sarees – Top Picks | From The Trunk,"Our most-viewed pre-loved sarees this week — authenticated silk, chiffon and designer drapes shoppers keep coming back to. One-of-a-kind, updated often.",Most-Viewed Pre-Loved Sarees – Top Picks | From The Trunk,"Our most-viewed pre-loved sarees this week — authenticated silk, chiffon and designer drapes shoppers keep coming back to. One-of-a-kind, updated often.",,"{""name"":"""",""content"":""""} | {""name"":""viewport"",""content"":""width=device-width, initial-scale=1""} | {""name"":""next-size-adjust"",""content"":""""} | {""name"":""theme-color"",""content"":""#4b2626""}",
/our-story,Our Story — Sarees With Provenance | From The Trunk,51,app/(site)/our-story/layout.tsx,Why we authenticate every saree and pass on its story. Meet From The Trunk — a home for pre-loved luxury sarees that still have a story to tell.,144,app/(site)/our-story/layout.tsx,,"index, follow",https://www.fromthetrunk.shop/our-story,Our Story — Sarees With Provenance | From The Trunk,Why we authenticate every saree and pass on its story. Meet From The Trunk — a home for pre-loved luxury sarees that still have a story to tell.,Our Story — Sarees With Provenance | From The Trunk,Why we authenticate every saree and pass on its story. Meet From The Trunk — a home for pre-loved luxury sarees that still have a story to tell.,,"{""name"":"""",""content"":""""} | {""name"":""viewport"",""content"":""width=device-width, initial-scale=1""} | {""name"":""next-size-adjust"",""content"":""""} | {""name"":""theme-color"",""content"":""#4b2626""}",
/our-team,Our Team | From The Trunk,25,app/(site)/our-team/page.tsx,"Meet the team behind From The Trunk, a circular saree house for authenticated pre-loved sarees and restored Indian textiles.",124,app/(site)/our-team/page.tsx,,"index, follow",https://www.fromthetrunk.shop/our-team,Our Team | From The Trunk,"Meet the team behind From The Trunk, a circular saree house for authenticated pre-loved sarees and restored Indian textiles.",Our Team | From The Trunk,"Meet the team behind From The Trunk, a circular saree house for authenticated pre-loved sarees and restored Indian textiles.",,"{""name"":"""",""content"":""""} | {""name"":""viewport"",""content"":""width=device-width, initial-scale=1""} | {""name"":""next-size-adjust"",""content"":""""} | {""name"":""theme-color"",""content"":""#4b2626""}",
/faqs,Pre-Loved Saree FAQs | From The Trunk,37,app/(site)/faqs/page.tsx | tests/unit/aeo-geo-faq.test.ts,"Answers on authenticity, sizing, shipping, returns and consignment for pre-loved sarees at From The Trunk.",106,app/(site)/faqs/page.tsx | tests/unit/aeo-geo-faq.test.ts,,"index, follow",https://www.fromthetrunk.shop/faqs,Pre-Loved Saree FAQs | From The Trunk,"Answers on authenticity, sizing, shipping, returns and consignment for pre-loved sarees at From The Trunk.",Pre-Loved Saree FAQs | From The Trunk,"Answers on authenticity, sizing, shipping, returns and consignment for pre-loved sarees at From The Trunk.",,"{""name"":"""",""content"":""""} | {""name"":""viewport"",""content"":""width=device-width, initial-scale=1""} | {""name"":""next-size-adjust"",""content"":""""} | {""name"":""theme-color"",""content"":""#4b2626""}",
/contact,Contact Us | From The Trunk Pre-Loved Sarees,44,app/(site)/contact/page.tsx,"Questions about a saree, an order, or consigning your own? Reach the From The Trunk team by email, WhatsApp or social.",118,app/(site)/contact/page.tsx,,"index, follow",https://www.fromthetrunk.shop/contact,Contact Us | From The Trunk Pre-Loved Sarees,"Questions about a saree, an order, or consigning your own? Reach the From The Trunk team by email, WhatsApp or social.",Contact Us | From The Trunk Pre-Loved Sarees,"Questions about a saree, an order, or consigning your own? Reach the From The Trunk team by email, WhatsApp or social.",,"{""name"":"""",""content"":""""} | {""name"":""viewport"",""content"":""width=device-width, initial-scale=1""} | {""name"":""next-size-adjust"",""content"":""""} | {""name"":""theme-color"",""content"":""#4b2626""}",
/how-it-works,How It Works — Buying & Authentication | From The Trunk,55,app/(site)/how-it-works/page.tsx,"How From The Trunk sources, authenticates and ships pre-loved sarees — with provenance, care and confidence at every step.",122,app/(site)/how-it-works/page.tsx,,"index, follow",https://www.fromthetrunk.shop/how-it-works,How It Works — Buying & Authentication,"How From The Trunk sources, authenticates and ships pre-loved sarees — with provenance, care and confidence at every step.",How It Works — Buying & Authentication,"How From The Trunk sources, authenticates and ships pre-loved sarees — with provenance, care and confidence at every step.",,"{""name"":"""",""content"":""""} | {""name"":""viewport"",""content"":""width=device-width, initial-scale=1""} | {""name"":""next-size-adjust"",""content"":""""} | {""name"":""theme-color"",""content"":""#4b2626""}",
/authentication,Saree Authentication & Provenance | From The Trunk,50,app/(site)/authentication/page.tsx,"How From The Trunk verifies fibre, zari and provenance, so every pre-loved saree you buy is exactly what we say it is.",118,app/(site)/authentication/page.tsx,,"index, follow",https://www.fromthetrunk.shop/authentication,Saree Authentication & Provenance | From The Trunk,"How From The Trunk verifies fibre, zari and provenance, so every pre-loved saree you buy is exactly what we say it is.",Saree Authentication & Provenance | From The Trunk,"How From The Trunk verifies fibre, zari and provenance, so every pre-loved saree you buy is exactly what we say it is.",,"{""name"":"""",""content"":""""} | {""name"":""viewport"",""content"":""width=device-width, initial-scale=1""} | {""name"":""next-size-adjust"",""content"":""""} | {""name"":""theme-color"",""content"":""#4b2626""}",
/policies,Policies | From The Trunk,25,app/(site)/policies/page.tsx,"Privacy, returns, refunds, shipping, authentication, and customer-care policies for From the Trunk.",99,app/(site)/policies/page.tsx,,"index, follow",https://www.fromthetrunk.shop/policies,Policies,"Privacy, returns, refunds, shipping, authentication, and customer-care policies for From the Trunk.",Policies,"Privacy, returns, refunds, shipping, authentication, and customer-care policies for From the Trunk.",,"{""name"":"""",""content"":""""} | {""name"":""viewport"",""content"":""width=device-width, initial-scale=1""} | {""name"":""next-size-adjust"",""content"":""""} | {""name"":""theme-color"",""content"":""#4b2626""}",
