URL/source file,Signal type,Signal value,Present/missing,SEO/AEO/GEO importance,Notes
/,html lang,en,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/,og:locale,en_IN,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/,geo meta,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/,hreflang,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/,FAQPage,missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/,Organization/OnlineStore,present,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/,Product facts,not applicable/missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/,Brand naming,From The Trunk visible,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/collection,html lang,en,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/collection,og:locale,en_IN,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/collection,geo meta,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/collection,hreflang,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/collection,FAQPage,missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/collection,Organization/OnlineStore,present,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/collection,Product facts,not applicable/missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/collection,Brand naming,From The Trunk visible,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/top-viewed,html lang,en,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/top-viewed,og:locale,en_IN,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/top-viewed,geo meta,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/top-viewed,hreflang,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/top-viewed,FAQPage,missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/top-viewed,Organization/OnlineStore,present,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/top-viewed,Product facts,not applicable/missing,missing/not applicable,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/top-viewed,Brand naming,From The Trunk visible,present,Answer/entity consistency,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/our-story,html lang,en,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/our-story,og:locale,en_IN,present,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/our-story,geo meta,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
/our-story,hreflang,missing,missing/not applicable,Language/geographic clarity,LocalBusiness and PostalAddress are not recommended unless truthful business/location data is approved.
