PDF page name,PDF URL,Actual project URL,PDF H1,Actual H1,H1 match?,PDF title,Actual title,Title match?,PDF meta,Actual meta,Meta match?,PDF robots expectation,Actual robots,Robots match?,Status,Notes
Homepage,/,/,Authenticated Pre-Loved Luxury Sarees,Authenticated Pre-Loved Luxury Sarees,yes,Authenticated Pre-Loved Luxury Sarees | From The Trunk,Authenticated Pre-Loved Luxury Sarees | From The Trunk,yes,"Shop authenticated pre-loved & vintage luxury sarees with provenance — heirloom silks, designer drapes and restored weaves, each with its own story.","Shop authenticated pre-loved & vintage luxury sarees with provenance — heirloom silks, designer drapes and restored weaves, each with its own story.",yes,"index, follow","index, follow",yes,Complete,PDF page 1; rendered production HTML wins where source and output differ.
Collection,/collection,/collection,Pre-Loved & Vintage Luxury Sarees,Pre-Loved& Vintage Luxury Sarees,no,Pre-Loved & Vintage Luxury Sarees – Shop All | From The Trunk,Pre-Loved & Vintage Luxury Sarees – Shop All | From The Trunk,yes,"Browse our full collection of authenticated pre-loved sarees — silk, chiffon, Banarasi and designer drapes. One-of-a-kind pieces, new arrivals weekly.","Browse our full collection of authenticated pre-loved sarees — silk, chiffon, Banarasi and designer drapes. One-of-a-kind pieces, new arrivals weekly.",yes,"index, follow","index, follow",yes,Partial,PDF page 1; rendered production HTML wins where source and output differ.
Top Viewed,/top-viewed,/top-viewed,Most-Loved Pre-Loved Sarees,Most-Loved Pre-Loved Sarees,yes,Most-Viewed Pre-Loved Sarees – Top Picks | From The Trunk,Most-Viewed Pre-Loved Sarees – Top Picks | From The Trunk,yes,"Our most-viewed pre-loved sarees this week — authenticated silk, chiffon and designer drapes shoppers keep coming back to. One-of-a-kind, updated often.","Our most-viewed pre-loved sarees this week — authenticated silk, chiffon and designer drapes shoppers keep coming back to. One-of-a-kind, updated often.",yes,"index, follow","index, follow",yes,Complete,PDF page 1; rendered production HTML wins where source and output differ.
Blouses,/blouses,/blouses,Pre-Loved & Designer Saree Blouses,Pre-Loved & Designer Saree Blouses,yes,Pre-Loved Saree Blouses | From The Trunk,Pre-Loved Saree Blouses | From The Trunk,yes,"Curated pre-loved and designer saree blouses to complete your drape — authenticated, one-of-a-kind pieces from From The Trunk.","Curated pre-loved and designer saree blouses to complete your drape — authenticated, one-of-a-kind pieces from From The Trunk.",yes,"index, follow","index, follow",yes,Complete,PDF page 1; rendered production HTML wins where source and output differ.
Product template,/collection/[product-slug],/collection/magenta-mist-chiffon-drape,{{Product Name}},Magenta Mist Chiffon Drape,no,{{Product Name}} – Pre-Loved {{Fabric}} Saree | From The Trunk,Magenta Mist Chiffon Drape – Pre-Loved Chiffon Saree | From The Trunk,no,"Own ‘{{Product Name}}’, a one-of-a-kind pre-loved {{fabric}} saree authenticated by From The Trunk. {{one-line story}}. Shipped with provenance.","Own 'Magenta Mist Chiffon Drape', a one-of-a-kind pre-loved Chiffon saree authenticated by From The Trunk. Shipped with provenance.",no,"index, follow","index, follow",yes,Partial,Template checked across 56 rendered product pages.
Product filled example,/collection/magenta-mist-chiffon-drape,/collection/magenta-mist-chiffon-drape,Magenta Mist Chiffon Drape,Magenta Mist Chiffon Drape,yes,Magenta Mist Chiffon Drape – Pre-Loved Chiffon Saree | From The Trunk,Magenta Mist Chiffon Drape – Pre-Loved Chiffon Saree | From The Trunk,yes,"Own ‘Magenta Mist’, a one-of-a-kind pre-loved chiffon saree authenticated by From The Trunk — the magenta that held the light. Shipped with provenance.","Own 'Magenta Mist Chiffon Drape', a one-of-a-kind pre-loved Chiffon saree authenticated by From The Trunk. Shipped with provenance.",no,"index, follow","index, follow",yes,Partial,PDF page 1; rendered production HTML wins where source and output differ.
About / Our Story,/about,/our-story,Our Story — Pre-Loved Sarees With Provenance,Our Story — Pre-Loved Sarees With Provenance,yes,Our Story — Sarees With Provenance | From The Trunk,Our Story — Sarees With Provenance | From The Trunk,yes,Why we authenticate every saree and pass on its story. Meet From The Trunk — a home for pre-loved luxury sarees that still have a story to tell.,Why we authenticate every saree and pass on its story. Meet From The Trunk — a home for pre-loved luxury sarees that still have a story to tell.,yes,"index, follow","index, follow",yes,Intentionally mapped,PDF page 2; rendered production HTML wins where source and output differ.
How It Works,/how-it-works,/how-it-works,How From The Trunk Works — Buying & Authentication,HowFromTheTrunkWorks—Buying&Authentication,no,How It Works — Buying & Authentication | From The Trunk,How It Works — Buying & Authentication | From The Trunk,yes,"How From The Trunk sources, authenticates and ships pre-loved sarees — with provenance, care and confidence at every step.","How From The Trunk sources, authenticates and ships pre-loved sarees — with provenance, care and confidence at every step.",yes,"index, follow","index, follow",yes,Partial,PDF page 2; rendered production HTML wins where source and output differ.
Authentication,/authentication,/authentication,How We Authenticate Every Pre-Loved Saree,How We Authenticate Every Pre-Loved Saree,yes,Saree Authentication & Provenance | From The Trunk,Saree Authentication & Provenance | From The Trunk,yes,"How From The Trunk verifies fibre, zari and provenance, so every pre-loved saree you buy is exactly what we say it is.","How From The Trunk verifies fibre, zari and provenance, so every pre-loved saree you buy is exactly what we say it is.",yes,"index, follow","index, follow",yes,Complete,PDF page 2; rendered production HTML wins where source and output differ.
Contact,/contact,/contact,Contact From The Trunk,Contact From The Trunk,yes,Contact Us | From The Trunk Pre-Loved Sarees,Contact Us | From The Trunk Pre-Loved Sarees,yes,"Questions about a saree, an order, or consigning your own? Reach the From The Trunk team by email, WhatsApp or social.","Questions about a saree, an order, or consigning your own? Reach the From The Trunk team by email, WhatsApp or social.",yes,"index, follow","index, follow",yes,Complete,PDF page 2; rendered production HTML wins where source and output differ.
