URL,Landing page type,Product count if applicable,Empty state behavior,Indexable when empty?,H1/title/meta,Canonical,Sitemap,Internal links,Thin-content risk,Duplicate-content risk,Recommendation
/collection,collection page,10,No empty-state phrase detected,not observed,"H1: Pre-Loved& Vintage Luxury Sarees || Title: Pre-Loved & Vintage Luxury Sarees – Shop All | From The Trunk || Meta: Browse our full collection of authenticated pre-loved sarees — silk, chiffon, Banarasi and designer drapes. One-of-a-kind pieces, new arrivals weekly.",https://www.fromthetrunk.shop/collection,yes,103,no,not observed,No rendered-page correction identified by automated checks.
/top-viewed,collection page,7,No empty-state phrase detected,not observed,"H1: Most-Loved Pre-Loved Sarees || Title: Most-Viewed Pre-Loved Sarees – Top Picks | From The Trunk || Meta: Our most-viewed pre-loved sarees this week — authenticated silk, chiffon and designer drapes shoppers keep coming back to. One-of-a-kind, updated often.",https://www.fromthetrunk.shop/top-viewed,yes,55,no,not observed,No rendered-page correction identified by automated checks.
/authentication,public SEO page,0,No empty-state phrase detected,not observed,"H1: How We Authenticate Every Pre-Loved Saree || Title: Saree Authentication & Provenance | From The Trunk || Meta: How From The Trunk verifies fibre, zari and provenance, so every pre-loved saree you buy is exactly what we say it is.",https://www.fromthetrunk.shop/authentication,yes,39,no,not observed,No rendered-page correction identified by automated checks.
/policies,policy page,0,No empty-state phrase detected,not observed,"H1: The small print, written with care. || Title: Policies | From The Trunk || Meta: Privacy, returns, refunds, shipping, authentication, and customer-care policies for From the Trunk.",https://www.fromthetrunk.shop/policies,yes,45,no,not observed,No rendered-page correction identified by automated checks.
/sell-your-saree,public SEO page,0,No empty-state phrase detected,not observed,"H1: Sell or consign sarees with a second story || Title: Sell Your Old Sarees Online | From The Trunk || Meta: Pass on old, vintage, or heirloom sarees through From the Trunk. Learn what we accept and how our review process works.",https://www.fromthetrunk.shop/sell-your-saree,yes,41,no,not observed,No rendered-page correction identified by automated checks.
/policies/privacy-policy,policy page,0,No empty-state phrase detected,not observed,"H1: Privacy Policy || Title: Privacy Policy | From The Trunk || Meta: How From The Trunk collects, uses and protects your personal information.",https://www.fromthetrunk.shop/policies/privacy-policy,yes,55,no,not observed,No rendered-page correction identified by automated checks.
/policies/return-refund-policy,policy page,0,No empty-state phrase detected,not observed,H1: Returns & Exchanges || Title: Returns & Exchanges | From The Trunk || Meta: From The Trunk's returns and exchange policy for pre-loved sarees — what's covered and how it works.,https://www.fromthetrunk.shop/policies/return-refund-policy,yes,54,no,not observed,No rendered-page correction identified by automated checks.
/policies/shipping-delivery-policy,policy page,0,No empty-state phrase detected,not observed,"H1: Shipping & Delivery || Title: Shipping & Delivery | From The Trunk || Meta: How From The Trunk packs and ships your pre-loved saree — timelines, coverage and what to expect.",https://www.fromthetrunk.shop/policies/shipping-delivery-policy,yes,52,no,not observed,No rendered-page correction identified by automated checks.
/policies/terms-of-service,policy page,0,No empty-state phrase detected,not observed,H1: Terms & Conditions || Title: Terms & Conditions | From The Trunk || Meta: The terms that apply when you shop with or consign to From The Trunk.,https://www.fromthetrunk.shop/policies/terms-of-service,yes,51,no,not observed,No rendered-page correction identified by automated checks.
/policies/authentication-condition-policy,policy page,0,No empty-state phrase detected,not observed,"H1: Authentication & Condition Policy || Title: Authentication & Condition Policy | From The Trunk || Meta: How we authenticate, grade, and document every pre-loved saree before it is listed.",https://www.fromthetrunk.shop/policies/authentication-condition-policy,yes,48,no,not observed,No rendered-page correction identified by automated checks.
/policies/care-packaging-policy,policy page,0,No empty-state phrase detected,not observed,"H1: Care & Packaging Policy || Title: Care & Packaging Policy | From The Trunk || Meta: How to store, wear, and care for your pre-loved saree, and how we package it.",https://www.fromthetrunk.shop/policies/care-packaging-policy,yes,48,no,not observed,No rendered-page correction identified by automated checks.
/policies/cancellation-policy,policy page,0,No empty-state phrase detected,not observed,"H1: Cancellation Policy || Title: Cancellation Policy | From The Trunk || Meta: How and when an order can be cancelled by you, or by From the Trunk.",https://www.fromthetrunk.shop/policies/cancellation-policy,yes,47,no,not observed,No rendered-page correction identified by automated checks.
/policies/sell-with-us-policy,policy page,0,No empty-state phrase detected,not observed,H1: Sell With Us Policy || Title: Sell With Us Policy | From The Trunk || Meta: How to submit a saree to From the Trunk for consignment and curation.,https://www.fromthetrunk.shop/policies/sell-with-us-policy,yes,50,no,not observed,No rendered-page correction identified by automated checks.
/policies/grievance-redressal,policy page,0,No empty-state phrase detected,not observed,"H1: Grievance Redressal Policy || Title: Grievance Redressal Policy | From The Trunk || Meta: How to reach us, and how we acknowledge and resolve grievances.",https://www.fromthetrunk.shop/policies/grievance-redressal,yes,48,no,not observed,No rendered-page correction identified by automated checks.
/collection/fabric/silk,collection page,10,No empty-state phrase detected,not observed,"H1: Pre-loved silk sarees, authenticated and re-stored || Title: Pre-Loved Silk Sarees Online India | From The Trunk || Meta: Shop authenticated pre-loved silk sarees from From the Trunk: restored, story-logged, and ready for another life.",https://www.fromthetrunk.shop/collection/fabric/silk,yes,61,no,not observed,No rendered-page correction identified by automated checks.
/blouses,collection page,5,No empty-state phrase detected,not observed,"H1: Pre-Loved & Designer Saree Blouses || Title: Pre-Loved Saree Blouses | From The Trunk || Meta: Curated pre-loved and designer saree blouses to complete your drape — authenticated, one-of-a-kind pieces from From The Trunk.",https://www.fromthetrunk.shop/blouses,yes,55,no,not observed,No rendered-page correction identified by automated checks.
/collection/fabric/chiffon,collection page,5,No empty-state phrase detected,not observed,"H1: Pre-loved chiffon sarees with soft movement || Title: Pre-Loved Chiffon Sarees | From The Trunk || Meta: Find light, flowing pre-loved chiffon sarees when available, each checked and story-logged by From the Trunk.",https://www.fromthetrunk.shop/collection/fabric/chiffon,no,50,no,not observed,Review: indexable URL missing from sitemap.
/collection/fabric/georgette,collection page,4,No empty-state phrase detected,not observed,H1: Pre-loved georgette sarees for fluid drape || Title: Pre-Loved Georgette Sarees | From The Trunk || Meta: Discover pre-loved georgette sarees from From the Trunk when this fluid fabric is available in the collection.,https://www.fromthetrunk.shop/collection/fabric/georgette,no,48,no,not observed,Review: indexable URL missing from sitemap.
/collection/fabric/kanjeevaram,collection page,0,No empty-state phrase detected,not observed,"H1: Pre-loved Kanjeevaram sarees with ceremonial presence || Title: Pre-Loved Kanjeevaram Sarees | From The Trunk || Meta: Explore authenticated pre-loved Kanjeevaram sarees, condition-checked and prepared for a second story.",https://www.fromthetrunk.shop/collection/fabric/kanjeevaram,no,42,no,not observed,No rendered-page correction identified by automated checks.
/collection/occasion/festive,collection page,0,No empty-state phrase detected,not observed,"H1: Pre-loved festive sarees for the next celebration || Title: Pre-Loved Festive Sarees | From The Trunk || Meta: Shop authenticated pre-loved festive sarees for celebrations, pujas, dinners, and family occasions.",https://www.fromthetrunk.shop/collection/occasion/festive,no,42,no,not observed,No rendered-page correction identified by automated checks.
/collection/occasion/wedding,collection page,0,No empty-state phrase detected,not observed,"H1: Pre-loved wedding sarees for meaningful occasions || Title: Pre-Loved Wedding Sarees | From The Trunk || Meta: Browse pre-loved wedding sarees when ceremonial pieces are available, with provenance and condition details.",https://www.fromthetrunk.shop/collection/occasion/wedding,no,41,no,not observed,No rendered-page correction identified by automated checks.
/collection?fabric=silk,collection page,10,No empty-state phrase detected,not observed,"H1: Pre-Loved& Vintage Luxury Sarees || Title: Pre-Loved & Vintage Luxury Sarees – Shop All | From The Trunk || Meta: Browse our full collection of authenticated pre-loved sarees — silk, chiffon, Banarasi and designer drapes. One-of-a-kind pieces, new arrivals weekly.",https://www.fromthetrunk.shop/collection,no,106,no,not observed,No rendered-page correction identified by automated checks.
