URL,Primary apparent keyword,Secondary apparent keywords,Title keywords,Meta keywords/phrases,H1 keywords,H2/H3 keywords,Body top 20 words,Schema keywords,Product/fabric/occasion keywords,Keyword consistency score,Notes
/,trunk,authenticated | luxury | pre-loved | sarees | saree | story,authenticated | pre-loved | luxury | sarees | trunk,shop | authenticated | pre-loved | vintage | luxury | sarees | provenance | heirloom | silks | designer | drapes | restored | weaves | each | story,authenticated | pre-loved | luxury | sarees,trunk | every | saree | still | story | left | tell | choose | feel | drape | occasion | seen | trunk | new | arrivals | trunk | worn | again | remembered | forever | looking | saree | story | authenticated | provenance | before | drape | returns | wardrobe | one | saree | many | ways | carry | presence | detail | makes | piece | remembered | quiet | statement | trunk | pressed | checked | folded | ready | restored | saree | finding | next | story | magenta | mist | chiffon | drape | mint | chiffon | garden | border | saree | rani | pink | georgette | midnight | gold | embroidered | georgette | stretchfit | blouse | stretchfit | blouse | brings | trunk,explore (20) | fabricfabric (16) | saree (16) | all (12) | note (11) | verified (10) | sarees (9) | soft (9) | trunk (9) | use (8) | 100 (7) | 25 (7) | checkout (7) | code (7) | coming (7) | customers (7) | first25 (7) | free (7) | get (7) | grab (7),onlinestore | contactpoint | website | organization,sarees | silks | drapes | weaves,100,Primary apparent term is reinforced in rendered body copy.
/collection,pre-loved,saree | trunk | silk | sarees | luxury | vintage,pre-loved | vintage | luxury | sarees | shop | all | trunk,browse | full | collection | authenticated | pre-loved | sarees | silk | chiffon | banarasi | designer | drapes | one-of-a-kind | pieces | new | arrivals | weekly,pre-loved | vintage | luxury | sarees,filters | all | pieces | tangerine | noir | floral | border | weave | sunset | ombré | chiffon | draped | dream | indigo | plum | tied | silk | saree | every | saree | fully | vouched | forest | flame | tie | dye | silk | every | saree | fully | vouched | moonstone | cream | mauve | border | saree | marigold | moss | cotton | midnight | garden | georgette | saree | green | garden | silk | burgundy | zari | edge | pink | katan | temple | border | forest | green | silk | black | gold,arrival (10) | unique (10) | all (8) | now (8) | use (8) | 100 (7) | 25 (7) | 299 (7) | checkout (7) | code (7) | coming (7) | customers (7) | first25 (7) | free (7) | get (7) | grab (7) | occasional (7) | off (7) | orders (7) | sarees (7),onlinestore | contactpoint | website | organization | breadcrumblist | listitem | listitem,sarees | silk | chiffon | banarasi | drapes,80,Primary apparent term is weakly reinforced in rendered body copy.
/top-viewed,pre-loved,sarees | trunk | most-viewed | saree | top | silk,most-viewed | pre-loved | sarees | top | picks | trunk,most-viewed | pre-loved | sarees | week | authenticated | silk | chiffon | designer | drapes | shoppers | keep | coming | back | one-of-a-kind | updated | often,most-loved | pre-loved | sarees,stretchfit | blouse | stretchfit | blouse | tangerine | noir | floral | border | weave | kempu | pachai | bandhani | sleeveless | cerise | pink | stretchfit | blouse | indigo | plum | tied | silk | saree | red | blue | madras | check | cotton,all (8) | coming (8) | now (8) | sarees (8) | use (8) | 100 (7) | 25 (7) | checkout (7) | code (7) | customers (7) | first25 (7) | free (7) | get (7) | grab (7) | occasional (7) | off (7) | orders (7) | shipping (7) | soon (7) | unique (7),onlinestore | contactpoint | website | organization | breadcrumblist | listitem | listitem | listitem,sarees | silk | chiffon | drapes,80,Primary apparent term is weakly reinforced in rendered body copy.
/our-story,story,sarees | provenance | trunk | pre-loved | saree | authenticate,story | sarees | provenance | trunk,authenticate | every | saree | pass | story | meet | trunk | home | pre-loved | luxury | sarees | still | story | tell,story | pre-loved | sarees | provenance,elegance | given | second | life,use (9) | all (8) | sarees (8) | 100 (7) | 25 (7) | checkout (7) | code (7) | coming (7) | customers (7) | first25 (7) | free (7) | get (7) | grab (7) | now (7) | occasional (7) | off (7) | orders (7) | shipping (7) | soon (7) | first (6),onlinestore | contactpoint | website | organization,sarees | saree,80,Primary apparent term is weakly reinforced in rendered body copy.
/our-team,team,trunk | founders | behind | authenticated | circular | house,team | trunk,meet | team | behind | trunk | circular | saree | house | authenticated | pre-loved | sarees | restored | indian | textiles,founders,minds | behind | trunk,sarees (9) | all (8) | use (8) | 100 (7) | 25 (7) | checkout (7) | code (7) | coming (7) | customers (7) | first25 (7) | free (7) | get (7) | grab (7) | now (7) | occasional (7) | off (7) | orders (7) | shipping (7) | soon (7) | first (6),onlinestore | contactpoint | website | organization,saree | sarees,60,Primary apparent term is weakly reinforced in rendered body copy.
/faqs,answer,question | pre-loved | saree | faqs | trunk | sarees,pre-loved | saree | faqs | trunk,answers | authenticity | sizing | shipping | returns | consignment | pre-loved | sarees | trunk,pre-loved | saree | faqs,policies | glimpse | common | questions | answered | privacy | policy | return | refund | exchange | policy | shipping | delivery | policy | terms | service | authentication | condition | policy | care | packaging | policy | cancellation | policy | sell | us | policy | grievance | redressal | policy | trunk | pre-loved | saree | pre-loved | sarees | authentic | buy | authenticated | pre-loved | sarees | india | trunk | verify | sarees | difference | between | pre-loved | second-hand | sarees | vintage | sarees | sustainable | sell | old | saree | store | silk | saree | care | kanjeevaram | saree | happens | one-of-one | saree | reserved | sarees | really | pre-loved | offer | returns | ship | sarees | care | saree | payment | methods | accept,saree (24) | sarees (20) | pre-loved (16) | trunk (15) | all (12) | know (10) | piece (10) | use (10) | before (9) | orders (9) | shipping (9) | 100 (7) | 25 (7) | care (7) | checkout (7) | code (7) | coming (7) | customers (7) | every (7) | first25 (7),onlinestore | contactpoint | website | organization | faqpage | question | answer | question | answer | question | answer | question | answer | question | answer | question | answer | question | answer | question | answer | question | answer | question | answer | question | answer | question | answer | question | answer | question | answer | question | answer | question | answer,saree | sarees,60,Primary apparent term is weakly reinforced in rendered body copy.
/contact,trunk,contact | onlinestore | pre-loved | sarees | us | contactpoint,contact | us | trunk | pre-loved | sarees,questions | about | saree | order | consigning | reach | trunk | team | email | whatsapp | social,contact | trunk,brings | trunk,sarees (9) | all (8) | use (8) | 100 (7) | 25 (7) | checkout (7) | code (7) | coming (7) | customers (7) | first25 (7) | free (7) | get (7) | grab (7) | now (7) | occasional (7) | off (7) | orders (7) | shipping (7) | soon (7) | trunk (7),onlinestore | contactpoint | website | organization | contactpage | onlinestore | onlinestore | contactpoint,sarees | saree,80,Primary apparent term is reinforced in rendered body copy.
/how-it-works,authentication,trunk | works | buying | howfromthetrunkworks-buying | nothing | authenticates,works | buying | authentication | trunk,trunk | sources | authenticates | ships | pre-loved | sarees | provenance | care | confidence | every | step,howfromthetrunkworks-buying | authentication,trunk | wardrobe | nothing | rushed | nothing | treated | like | inventory | saree | lose | past | simply | finds | new | home | authenticated | condition | graded | re-stored | sourcing | quality | control | eco-restoration | sustainable | packaging | doorstep | magic,all (9) | sarees (9) | use (8) | 100 (7) | 25 (7) | checkout (7) | code (7) | coming (7) | customers (7) | first25 (7) | free (7) | get (7) | grab (7) | now (7) | occasional (7) | off (7) | orders (7) | shipping (7) | soon (7) | first (6),onlinestore | contactpoint | website | organization,sarees,60,Primary apparent term is weakly reinforced in rendered body copy.
/authentication,saree,authentication | provenance | trunk | every | pre-loved | authenticate,saree | authentication | provenance | trunk,trunk | verifies | fibre | zari | provenance | every | pre-loved | saree | buy | exactly | say,authenticate | every | pre-loved | saree,fibre | weave | check | reading | zari | condition | graded | honestly | provenance | story | tell | authentication | means,saree (9) | all (8) | use (8) | 100 (7) | 25 (7) | checkout (7) | code (7) | coming (7) | customers (7) | first25 (7) | free (7) | get (7) | grab (7) | now (7) | occasional (7) | off (7) | orders (7) | sarees (7) | shipping (7) | soon (7),onlinestore | contactpoint | website | organization,saree | zari,80,Primary apparent term is reinforced in rendered body copy.
/policies,policy,policies | trunk | care | print | small | written,policies | trunk,privacy | returns | refunds | shipping | authentication | customer-care | policies | trunk,small | print | written | care,privacy | policy | return | refund | exchange | policy | shipping | delivery | policy | terms | service | authentication | condition | policy | care | packaging | policy | cancellation | policy | sell | us | policy | grievance | redressal | policy,read (9) | shipping (9) | use (9) | all (8) | orders (8) | 100 (7) | 25 (7) | checkout (7) | code (7) | coming (7) | customers (7) | first25 (7) | free (7) | get (7) | grab (7) | now (7) | occasional (7) | off (7) | policyhow (7) | sarees (7),onlinestore | contactpoint | website | organization,,180,Primary apparent term is weakly reinforced in rendered body copy.
