URL,Page type,HTTP status,Final URL,Title,Title length,Title issue,Meta description,Meta description length,Meta issue,H1 count,H1 text,H1 issue,H2 list,H3 list,Canonical,Canonical issue,Robots,Robots issue,Sitemap included,Sitemap issue,Overall SEO status,Priority,Recommended fix
/,public SEO page,200,/,Authenticated Pre-Loved Luxury Sarees | From The Trunk,54,,"Shop authenticated pre-loved & vintage luxury sarees with provenance — heirloom silks, designer drapes and restored weaves, each with its own story.",148,,1,Authenticated Pre-Loved Luxury Sarees,,"From the Trunk: every saree still has a story left to tell. | Choose by feel, drape, and occasion. | Seen in the Trunk. | New arrivals From The Trunk. | Worn again, remembered forever. | Looking for a saree with a story?","Authenticated with provenance | Before the drape returns to the wardrobe. | One saree, many ways to carry presence. | The detail that makes a piece remembered. | A quiet statement from the trunk. | Pressed, checked, folded, and ready. | A restored saree finding its next story. | Magenta Mist Chiffon Drape | Mint Chiffon Garden Border Saree | Rani Pink Georgette | Midnight Gold Embroidered Georgette | StretchFit Blouse | StretchFit Blouse | What brings you to From the Trunk?",https://www.fromthetrunk.shop,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/collection,collection page,200,/collection,Pre-Loved & Vintage Luxury Sarees – Shop All | From The Trunk,61,,"Browse our full collection of authenticated pre-loved sarees — silk, chiffon, Banarasi and designer drapes. One-of-a-kind pieces, new arrivals weekly.",150,,1,Pre-Loved& Vintage Luxury Sarees,,Filters | All pieces,"Tangerine Noir Floral Border Weave | Sunset Ombré Chiffon Draped Dream | Indigo & Plum Tied Silk Saree | Every saree, fully vouched for. | Forest & Flame Tie Dye Silk | Every saree, fully vouched for. | Moonstone Cream Mauve Border Saree | Marigold & Moss cotton | Midnight Garden Georgette Saree | Green Garden Silk Burgundy Zari Edge | Pink Katan temple border | Forest green silk black gold",https://www.fromthetrunk.shop/collection,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/top-viewed,collection page,200,/top-viewed,Most-Viewed Pre-Loved Sarees – Top Picks | From The Trunk,57,,"Our most-viewed pre-loved sarees this week — authenticated silk, chiffon and designer drapes shoppers keep coming back to. One-of-a-kind, updated often.",152,,1,Most-Loved Pre-Loved Sarees,,,StretchFit Blouse | StretchFit Blouse | Tangerine Noir Floral Border Weave | Kempu Pachai & Bandhani | Sleeveless Cerise Pink StretchFit Blouse | Indigo & Plum Tied Silk Saree | Red Blue Madras Check Cotton,https://www.fromthetrunk.shop/top-viewed,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/our-story,public SEO page,200,/our-story,Our Story — Sarees With Provenance | From The Trunk,51,,Why we authenticate every saree and pass on its story. Meet From The Trunk — a home for pre-loved luxury sarees that still have a story to tell.,144,,1,Our Story — Pre-Loved Sarees With Provenance,,"Elegance, given a second life.",,https://www.fromthetrunk.shop/our-story,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/our-team,public SEO page,200,/our-team,Our Team | From The Trunk,25,,"Meet the team behind From The Trunk, a circular saree house for authenticated pre-loved sarees and restored Indian textiles.",124,,1,Our Founders,,The minds behind the trunk.,,https://www.fromthetrunk.shop/our-team,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/faqs,public SEO page,200,/faqs,Pre-Loved Saree FAQs | From The Trunk,37,,"Answers on authenticity, sizing, shipping, returns and consignment for pre-loved sarees at From The Trunk.",106,,1,Pre-Loved Saree FAQs,,"Our policies, in a glimpse | Common questions, answered","Privacy Policy | Return, Refund & Exchange Policy | Shipping & Delivery Policy | Terms of Service | Authentication & Condition Policy | Care & Packaging Policy | Cancellation Policy | Sell With Us Policy | Grievance Redressal Policy | What is From the Trunk? | What is a pre-loved saree? | Are pre-loved sarees authentic? | Where can I buy authenticated pre-loved sarees in India? | How does From the Trunk verify sarees? | What is the difference between pre-loved and second-hand sarees? | Are vintage sarees sustainable? | How do I sell my old saree? | How do I store a silk saree? | How do I care for a Kanjeevaram saree? | What happens if a one-of-one saree is reserved? | Are the sarees really pre-loved? | Do you offer returns? | How do you ship the sarees? | How do I care for my saree? | What payment methods do you accept?",https://www.fromthetrunk.shop/faqs,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/contact,public SEO page,200,/contact,Contact Us | From The Trunk Pre-Loved Sarees,44,,"Questions about a saree, an order, or consigning your own? Reach the From The Trunk team by email, WhatsApp or social.",118,,1,Contact From The Trunk,,,What brings you to From the Trunk?,https://www.fromthetrunk.shop/contact,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/how-it-works,public SEO page,200,/how-it-works,How It Works — Buying & Authentication | From The Trunk,55,,"How From The Trunk sources, authenticates and ships pre-loved sarees — with provenance, care and confidence at every step.",122,,1,HowFromTheTrunkWorks—Buying&Authentication,,From trunk to wardrobe | Nothing is rushed. Nothing is treated like inventory. | A saree does not lose its past. It simply finds a new home.,Authenticated | Condition graded | Re-stored | Sourcing | Quality Control | Eco-Restoration | Sustainable Packaging | Doorstep Magic,https://www.fromthetrunk.shop/how-it-works,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/authentication,public SEO page,200,/authentication,Saree Authentication & Provenance | From The Trunk,50,,"How From The Trunk verifies fibre, zari and provenance, so every pre-loved saree you buy is exactly what we say it is.",118,,1,How We Authenticate Every Pre-Loved Saree,,"The fibre & weave check | Reading the zari | Condition, graded honestly | Provenance & the story we can tell | What authentication means for you",,https://www.fromthetrunk.shop/authentication,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
/policies,policy page,200,/policies,Policies | From The Trunk,25,,"Privacy, returns, refunds, shipping, authentication, and customer-care policies for From the Trunk.",99,,1,"The small print, written with care.",,"Privacy Policy | Return, Refund & Exchange Policy | Shipping & Delivery Policy | Terms of Service | Authentication & Condition Policy | Care & Packaging Policy | Cancellation Policy | Sell With Us Policy | Grievance Redressal Policy",,https://www.fromthetrunk.shop/policies,,"index, follow",,yes,,Pass,Low,No rendered-page correction identified by automated checks.
