"issue_number","issue","status_after_source_fix","evidence","launch_status"
"1","Test/placeholder products live and indexable","FIXED IN SOURCE, PENDING DEPLOY","shouldIncludeProductInSeo filters blouse, placeholder, Rs 1, sold, and non-published products","Deploy required before live staging changes"
"2","Product schema","FIXED/PARTIAL","QA/test products suppress Product JSON-LD; real products keep Product/Offer; no fake reviews","OK after deploy"
"3","Sitemap submitted to Google","PENDING OWNER","Sitemap source fixed; no GSC action performed","Owner action required"
"4","Thin product content","PARTIAL","Thin QA products noindexed; real CMS copy backlog remains","Backlog"
"5","Editorial content","PARTIAL","Guide routes exist; no new visible content added","Backlog"
"6","GSC and GA4","NOT VERIFIED","Source wiring exists; external accounts not accessed","Owner action required"
"7","Canonical/filter SEO","FIXED/PARTIAL","Filter routes noindex; /blouses noindex source fix","Recheck after deploy"
"8","Title tags","PARTIAL","No visible copy rewrite by contract","Backlog"
"9","Category pages","PARTIAL","Fabric/occasion/guide/supply architecture exists","Backlog"
"10","Image alt","PARTIAL","Alt helpers exist; generic CMS alt remains for QA media","Backlog"
"11","FAQ schema","FIXED/PARTIAL","FAQPage on /faqs and /sell-your-saree","OK"
"12","Backlinks","EXTERNAL","Not code-verifiable","Owner/marketing"
"13","Reviews","NOT FIXED BY DESIGN","No real reviews verified; no fake schema added","Backlog"
"14","Contact data","EXISTING COVERED","Playwright footer/contact checks pass without printing contact values","Post-deploy verify"
"15","Breadcrumb schema","FIXED/PARTIAL","PDP BreadcrumbList retained","OK"
"16","Meta descriptions","PARTIAL","QA PDPs noindexed; rewrites deferred","Backlog"
"17","Large images/Core Web Vitals","NOT FIXED","agent:check failed public mobile LCP 4194-5729 ms","Launch blocker"
"18","Sell Your Saree","FIXED EXISTING","Route live and in sitemap source","Post-deploy verify"
"19","Local SEO","EXTERNAL","No profile/listing access used","Owner action required"
"20","Unsplash stock images","EVIDENCE ONLY","Source references listed; no replacement without approval","Owner media approval"

