URL,H1 count,H1 text,H1 source file if traceable,H2 count,H2 list,H3 count,H3 list,Multiple H1 issue,Missing H1 issue,Mismatch with PDF/SOT if applicable,Recommended fix
/,1,Authenticated Pre-Loved Luxury Sarees,app/(site)/page.tsx,6,"From the Trunk: every saree still has a story left to tell. | Choose by feel, drape, and occasion. | Seen in the Trunk. | New arrivals From The Trunk. | Worn again, remembered forever. | Looking for a saree with a story?",14,"Authenticated with provenance | Before the drape returns to the wardrobe. | One saree, many ways to carry presence. | The detail that makes a piece remembered. | A quiet statement from the trunk. | Pressed, checked, folded, and ready. | A restored saree finding its next story. | Magenta Mist Chiffon Drape | Mint Chiffon Garden Border Saree | Rani Pink Georgette | Midnight Gold Embroidered Georgette | StretchFit Blouse | StretchFit Blouse | What brings you to From the Trunk?",no,no,,No H1 correction identified.
/collection,1,Pre-Loved& Vintage Luxury Sarees,app/(site)/collection/page.tsx,2,Filters | All pieces,12,"Tangerine Noir Floral Border Weave | Sunset Ombré Chiffon Draped Dream | Indigo & Plum Tied Silk Saree | Every saree, fully vouched for. | Forest & Flame Tie Dye Silk | Every saree, fully vouched for. | Moonstone Cream Mauve Border Saree | Marigold & Moss cotton | Midnight Garden Georgette Saree | Green Garden Silk Burgundy Zari Edge | Pink Katan temple border | Forest green silk black gold",no,no,Collection,No H1 correction identified.
/top-viewed,1,Most-Loved Pre-Loved Sarees,app/(site)/top-viewed/page.tsx,0,,7,StretchFit Blouse | StretchFit Blouse | Tangerine Noir Floral Border Weave | Kempu Pachai & Bandhani | Sleeveless Cerise Pink StretchFit Blouse | Indigo & Plum Tied Silk Saree | Red Blue Madras Check Cotton,no,no,,No H1 correction identified.
/our-story,1,Our Story — Pre-Loved Sarees With Provenance,app/(site)/our-story/page.tsx,1,"Elegance, given a second life.",0,,no,no,,No H1 correction identified.
/our-team,1,Our Founders,app/(site)/our-team/page.tsx,1,The minds behind the trunk.,0,,no,no,,No H1 correction identified.
/faqs,1,Pre-Loved Saree FAQs,app/(site)/faqs/page.tsx,2,"Our policies, in a glimpse | Common questions, answered",25,"Privacy Policy | Return, Refund & Exchange Policy | Shipping & Delivery Policy | Terms of Service | Authentication & Condition Policy | Care & Packaging Policy | Cancellation Policy | Sell With Us Policy | Grievance Redressal Policy | What is From the Trunk? | What is a pre-loved saree? | Are pre-loved sarees authentic? | Where can I buy authenticated pre-loved sarees in India? | How does From the Trunk verify sarees? | What is the difference between pre-loved and second-hand sarees? | Are vintage sarees sustainable? | How do I sell my old saree? | How do I store a silk saree? | How do I care for a Kanjeevaram saree? | What happens if a one-of-one saree is reserved? | Are the sarees really pre-loved? | Do you offer returns? | How do you ship the sarees? | How do I care for my saree? | What payment methods do you accept?",no,no,,No H1 correction identified.
/contact,1,Contact From The Trunk,app/(site)/contact/page.tsx,0,,1,What brings you to From the Trunk?,no,no,,No H1 correction identified.
/how-it-works,1,HowFromTheTrunkWorks—Buying&Authentication,app/(site)/how-it-works/page.tsx,3,From trunk to wardrobe | Nothing is rushed. Nothing is treated like inventory. | A saree does not lose its past. It simply finds a new home.,8,Authenticated | Condition graded | Re-stored | Sourcing | Quality Control | Eco-Restoration | Sustainable Packaging | Doorstep Magic,no,no,How It Works,No H1 correction identified.
/authentication,1,How We Authenticate Every Pre-Loved Saree,app/(site)/authentication/page.tsx,5,"The fibre & weave check | Reading the zari | Condition, graded honestly | Provenance & the story we can tell | What authentication means for you",0,,no,no,,No H1 correction identified.
/policies,1,"The small print, written with care.",app/(site)/policies/page.tsx,9,"Privacy Policy | Return, Refund & Exchange Policy | Shipping & Delivery Policy | Terms of Service | Authentication & Condition Policy | Care & Packaging Policy | Cancellation Policy | Sell With Us Policy | Grievance Redressal Policy",0,,no,no,,No H1 correction identified.
/why,1,A saree is never just fabric.,app/(site)/why/page.tsx,5,Memory | Craft | Circular | Each piece arrives with a past. We help it carry forward. | To buy pre-loved is to choose beauty with memory.,5,"Not pre-owned, re-stored. | One-of-one | Authenticated | Care packed | Conscious",no,no,,No H1 correction identified.
/sell-your-saree,1,Sell or consign sarees with a second story,app/(site)/sell-your-saree/page.tsx,5,"A careful, respectful way to pass your saree into its next chapter. | A clear path, handled with care. | From your trunk to ours | Explore the next part of the trunk. | Everything you may want to ask first.",9,Authenticated | Condition noted | Story-led | Share the piece | We review with care | It is prepared | How do I sell my old saree? | What sarees can I submit? | Do you buy every old saree?,no,no,,No H1 correction identified.
/packing,1,Our Packaging,app/(site)/packing/page.tsx,5,Prepared With Care | What Comes in the Box | Before Dispatch | Receiving Your Saree | Related Support,0,,no,no,,No H1 correction identified.
