ZIP item/key/route,ZIP expected title/meta/H1/schema if available,Actual project route,Exists?,Implemented?,Indexable?,Sitemap included?,Duplicate/thin risk?,Status,Notes
Canonical sell route,/sell or /sell-your-saree,/sell-your-saree,yes,yes,yes,yes,not observed,Done,Archive says /sell-your-saree is canonical; stale /sell CTA was only a change candidate. Source: historical Archive.zip blob ec2a874b (not present in current worktree; inspected read-only from Git history).
Fabric landing,/collection/fabric/silk,/collection/fabric/silk,yes,yes,yes,yes,not observed,Done,Conditionally indexable when the product threshold is met. Source: historical Archive.zip blob ec2a874b (not present in current worktree; inspected read-only from Git history).
Occasion landing,/collection/occasion/festive,/collection/occasion/festive,yes,yes,no,no,not observed,Done,Conditionally indexable when the product threshold is met. Source: historical Archive.zip blob ec2a874b (not present in current worktree; inspected read-only from Git history).
Query filters,Noindex and excluded from sitemap,/collection?fabric=silk,yes,yes,no,no,not observed,Done,"Archive treats query filters as UX links, not index targets. Source: historical Archive.zip blob ec2a874b (not present in current worktree; inspected read-only from Git history)."
Policy canonicals,/policies/[slug],/policies/[slug],no,no,n/a,n/a,not observed,Missing,Archive defines the canonical policy family and legacy aliases. Source: historical Archive.zip blob ec2a874b (not present in current worktree; inspected read-only from Git history).
Care guide proposal,/guides/saree-care-guide,/guides/saree-care-guide,no,no,n/a,n/a,not observed,Future,Future only after content approval. Source: historical Archive.zip blob ec2a874b (not present in current worktree; inspected read-only from Git history).
Fabric guide proposal,/guides/saree-fabric-guide,/guides/saree-fabric-guide,no,no,n/a,n/a,not observed,Future,Future only after content approval. Source: historical Archive.zip blob ec2a874b (not present in current worktree; inspected read-only from Git history).
Sustainability guide proposal,/guides/sustainable-sarees,/guides/sustainable-sarees,no,no,n/a,n/a,not observed,Future,Future only after content approval. Source: historical Archive.zip blob ec2a874b (not present in current worktree; inspected read-only from Git history).
Press/media proposal,/press or /media-kit,/press,no,no,n/a,n/a,not observed,Future,Future only after content and asset approval. Source: historical Archive.zip blob ec2a874b (not present in current worktree; inspected read-only from Git history).
Journal,No recommendation found in historical Archive.zip,/journal,no,no,n/a,n/a,not observed,Not needed,"The current brief asks to check it, but the archive does not propose it. Source: historical Archive.zip blob ec2a874b (not present in current worktree; inspected read-only from Git history)."
Schema helpers,"Product, organization, website, breadcrumb and safe JSON-LD",lib/seo/json-ld.ts,yes,yes,n/a,n/a,not observed,Done,Archive names the helper surface. Source: historical Archive.zip blob ec2a874b (not present in current worktree; inspected read-only from Git history).
Metadata helpers,"Shared public, PDP, OG and Twitter helpers",lib/seo/metadata.ts,yes,yes,n/a,n/a,not observed,Done,Archive names the helper surface. Source: historical Archive.zip blob ec2a874b (not present in current worktree; inspected read-only from Git history).
Sitemap helper,Canonical indexable routes only,app/sitemap.ts,yes,yes,n/a,n/a,not observed,Done,Archive names the helper surface. Source: historical Archive.zip blob ec2a874b (not present in current worktree; inspected read-only from Git history).
Robots helper,Public allow; utility/private exclusions,app/robots.ts,yes,yes,n/a,n/a,not observed,Done,Archive names the helper surface. Source: historical Archive.zip blob ec2a874b (not present in current worktree; inspected read-only from Git history).
Verification metadata,No Google verification item found,site metadata,no,no,n/a,n/a,not observed,Missing,No google-site-verification match exists in the historical archive. Source: historical Archive.zip blob ec2a874b (not present in current worktree; inspected read-only from Git history).
