area,status,evidence,next_action
Safety snapshot,PASS,No push deploy GSC submit live Razorpay or notifications performed,Keep reports only
Unsplash removal,PASS,Production-facing app/components/lib/db/public/next.config search has no matches,Owner visual approval for replacements
Next image config,PASS,Remote patterns no longer include stock-image hosts,Keep sanitizer tests
CSP image sources,PASS,CSP img-src no longer includes stock-image hosts,Recheck after deploy
Story image replacement,PASS,Brand story and narrative fallback use local trunk image,Owner visual approval recommended
Legacy demo data,PASS,Demo/fallback dataset image URLs replaced with local media,Do not rely on demo data publicly without approval
Blouse QA exclusion,PASS,Rs 1 and placeholder blouse fixtures excluded from sitemap/llms/schema,Keep checkout test products usable
Future blouse eligibility,PASS,Real Rs 999 blouse fixture is eligible and included by sitemap/llms tests,Index /blouses only after owner approval
Product JSON-LD,PASS,Eligible products emit truthful Product/Offer and blocked image URLs are filtered,Continue CMS data cleanup
Fake reviews,PASS,Tests assert no AggregateRating or Review schema,Build real review system later
Sitemap,PASS,Eligible public routes and product image entries covered by tests,Validate on final domain after deploy
Robots,PASS,Private/system/transactional route families disallowed,Recheck final robots URL
Llms,PASS,Canonical public routes and eligible products only,Recheck final domain after deploy
Metadata,PASS,Title description canonical coverage remains in source/tests,No meta keywords added
Canonical filters,PASS,Arbitrary collection query filters are noindex/canonical to collection,Create curated pages only with thresholds
Category landing policy,PASS,Curated pages require inventory threshold and owner-approved content,Add copy backlog
Image alt/loading,PASS,Alt helpers and priority tests pass,CMS media alt cleanup remains
FAQ schema,PASS,Policy says schema must match visible FAQ,Validate live rendered JSON-LD post deploy
Breadcrumb schema,PASS,Canonical breadcrumb guardrails remain,Validate live rendered JSON-LD post deploy
Internal linking,PASS,Approved link sets tested with no private/query targets,No visible label changes
Contact data,PASS,Contact/social surfaces audited without printing values,Owner confirmation still external
Large assets,PARTIAL,Inventory created and no deletion performed,Optimize media and seek delete approval
Sell Your Saree local SEO,PASS,Route included in sitemap/llms and no fake LocalBusiness schema added,Owner external local SEO checklist
Analytics GSC,PARTIAL,Source/env-name only audit no external action,Owner confirms env and submits after deploy
LCP,FAIL,agent:check public mobile LCP 4125-5724 ms vs 2500 ms threshold,Fix or owner accepts risk
Final readiness,PARTIAL,SEO hardening passed but LCP blocks final ready status,Fix critical LCP before launch
