URL,Image src,Image file/source,Alt text,Alt text missing?,Decorative image?,Width/height if available,Lazy loading,Product image?,Open Graph image?,Issue,Recommendation
/,/_next/image?url=%2FFtt_logo_navbar.avif&w=1920&q=75,page-Lw-image-1,,no,yes,180x100,eager,no/unknown,no,,
/,/_next/image?url=%2FFtt_logo_navbar.avif&w=360&q=75,page-Lw-image-2,From the Trunk,no,no/unknown,176x70,lazy,no/unknown,no,,
/,/_next/image?url=%2Ffooter%2Fftt-trunk-saree.webp&w=1920&q=75,page-Lw-image-3,,no,yes,520x400,lazy,no/unknown,no,,
/,/_next/image?url=%2Fhero%2F3-lcp.webp&w=1920&q=75,page-Lw-image-4,,no,yes,?x?,eager/unspecified,no/unknown,no,,
/,/_next/image?url=%2Four-story%2Fchap_1.avif&w=1920&q=75,page-Lw-image-5,A treasured saree carrying memories and milestones,no,no/unknown,?x?,lazy,no/unknown,no,,
/,/_next/image?url=%2Fbanner%2Fbanner1.avif&w=1920&q=75,page-Lw-image-6,"Grand Launch Edit, The Trunk Opens campaign banner",no,no/unknown,?x?,lazy,no/unknown,no,,
/,/_next/image?url=%2Fbanner%2Fbanner2.avif&w=1920&q=75,page-Lw-image-7,,no,yes,?x?,lazy,no/unknown,no,,
/,/_next/image?url=%2Fbanner%2Fbanner3.avif&w=1920&q=75,page-Lw-image-8,,no,yes,?x?,lazy,no/unknown,no,,
/,/_next/image?url=%2Fcategory%2Fgeorgette.jpg&w=1920&q=75,page-Lw-image-9,,no,yes,?x?,lazy,no/unknown,no,,
/,/_next/image?url=%2Fcategory%2Fcotton.JPG&w=1920&q=75,page-Lw-image-10,,no,yes,?x?,lazy,no/unknown,no,,
/,/_next/image?url=%2Fcategory%2Fkanjiverram.jpg&w=1920&q=75,page-Lw-image-11,,no,yes,?x?,lazy,no/unknown,no,,
/,/_next/image?url=%2Fcategory%2Fsilk.JPG&w=1920&q=75,page-Lw-image-12,,no,yes,?x?,lazy,no/unknown,no,,
/,/_next/image?url=%2Fcategory%2FKota_Cotton.jpg&w=1920&q=75,page-Lw-image-13,,no,yes,?x?,lazy,no/unknown,no,,
