Issue ID,Severity,Category,URL,File path,Issue,Evidence,Why it matters,Recommended fix,Safe before production?,Requires business decision?
RND-047,High,sitemap,/collection/fabric/chiffon,app/(site)/collection/fabric/[fabric]/page.tsx | lib/seo/metadata.ts | lib/products/sort.ts | components/seo/keyword-product-landing-page.tsx | lib/seo/json-ld.ts | lib/products/display-details.ts | components/product/product-card.tsx | lib/products/product-type.ts | components/product/product-card-commerce-row.tsx | components/product/wishlist-button.tsx | lib/realtime/use-live-product-stock.ts,Canonical indexable page is missing from the sitemap.,"Status 200; robots index, follow; canonical https://www.fromthetrunk.shop/collection/fabric/chiffon","XML sitemaps should list canonical, indexable, successful URLs only.",Add the route only after confirming durable content and canonical indexability.,yes,no
RND-048,High,sitemap,/collection/fabric/georgette,app/(site)/collection/fabric/[fabric]/page.tsx | lib/seo/metadata.ts | lib/products/sort.ts | components/seo/keyword-product-landing-page.tsx | lib/seo/json-ld.ts | lib/products/display-details.ts | components/product/product-card.tsx | lib/products/product-type.ts | components/product/product-card-commerce-row.tsx | components/product/wishlist-button.tsx | lib/realtime/use-live-product-stock.ts,Canonical indexable page is missing from the sitemap.,"Status 200; robots index, follow; canonical https://www.fromthetrunk.shop/collection/fabric/georgette","XML sitemaps should list canonical, indexable, successful URLs only.",Add the route only after confirming durable content and canonical indexability.,yes,no
RND-049,High,robots,/admin,app/(site)/[...slug]/page.tsx | lib/content/blocks/faq.tsx | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/content/blocks/product-grid.tsx | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | lib/products/sort.ts | components/product/product-card.tsx | lib/products/product-type.ts | components/product/product-card-commerce-row.tsx | components/product/wishlist-button.tsx | lib/realtime/use-live-product-stock.ts,Utility/private/query page is indexable.,"Robots meta index, follow; X-Robots-Tag none",Robots directives control eligibility and crawler behavior.,Emit the intended noindex directive at page or response-header level.,yes,no
RND-055,High,sitemap,/collection/rose-vine-stripe-chiffon-saree,app/(site)/collection/[slug]/page.tsx | lib/products/product-type.ts | lib/seo/metadata.ts | lib/products/sort.ts | lib/seo/product-indexing.ts | lib/seo/pdp-meta.ts | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | components/product/restock-notify-button.tsx | components/product/wishlist-button.tsx | components/product/recently-viewed.tsx | components/product/product-view-tracker.tsx | components/product/blouse-purchase-controls.tsx | components/product/blouse-size-selector.tsx | components/product/blouse-size-chart-dialog.tsx | components/product/blouse-size-chart-table.tsx | lib/realtime/use-live-product-stock.ts | components/product/product-card.tsx | components/product/product-card-commerce-row.tsx | components/product/product-gallery.tsx,Canonical indexable page is missing from the sitemap.,"Status 200; robots index, follow; canonical https://www.fromthetrunk.shop/collection/rose-vine-stripe-chiffon-saree","XML sitemaps should list canonical, indexable, successful URLs only.",Add the route only after confirming durable content and canonical indexability.,yes,no
RND-056,High,sitemap,/collection/coral-sunrise-chiffon-georgette-saree,app/(site)/collection/[slug]/page.tsx | lib/products/product-type.ts | lib/seo/metadata.ts | lib/products/sort.ts | lib/seo/product-indexing.ts | lib/seo/pdp-meta.ts | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | components/product/restock-notify-button.tsx | components/product/wishlist-button.tsx | components/product/recently-viewed.tsx | components/product/product-view-tracker.tsx | components/product/blouse-purchase-controls.tsx | components/product/blouse-size-selector.tsx | components/product/blouse-size-chart-dialog.tsx | components/product/blouse-size-chart-table.tsx | lib/realtime/use-live-product-stock.ts | components/product/product-card.tsx | components/product/product-card-commerce-row.tsx | components/product/product-gallery.tsx,Canonical indexable page is missing from the sitemap.,"Status 200; robots index, follow; canonical https://www.fromthetrunk.shop/collection/coral-sunrise-chiffon-georgette-saree","XML sitemaps should list canonical, indexable, successful URLs only.",Add the route only after confirming durable content and canonical indexability.,yes,no
SRC-001,High,robots,"/account, /cart, /checkout, /search",app/robots.ts:11; lib/seo/route-metadata.ts:5,"robots.txt disallows customer utility pages whose metadata intends noindex, follow.","The disallow rules can prevent crawlers from fetching the pages and observing noindex, follow.",Robots blocking is not a substitute for noindex and can leave URL-only index entries while suppressing link discovery.,"Allow these utility pages to be crawled while retaining noindex, follow metadata; keep admin/API protections separate.",yes,no
SRC-002,High,links,Header and homepage category links,components/layout/site-header-nav.tsx:10; components/sections/fabric-category-section.tsx:19; app/(site)/collection/page.tsx:119,Primary internal links point to noindex collection query variants instead of dedicated canonical landing pages.,Top Viewed and Blouses use collection query URLs; homepage fabric cards also use filters while canonical landing routes exist.,Internal authority and crawl discovery are sent to URLs intentionally canonicalized away and noindexed.,"Link the relevant labels to /top-viewed, /blouses, and eligible canonical fabric/occasion landing pages.",yes,no
SRC-003,High,sitemap,/collection/fabric/* and /collection/occasion/*,lib/seo/keyword-landing-pages.ts:439; app/sitemap.ts:143,Some keyword pages can become indexable at the product threshold but remain permanently excluded from the sitemap.,"Metadata indexability is count-driven, while sitemap:false is checked before product counts.",Indexable landing pages can lack XML discovery even when they meet the intended quality threshold.,"Make sitemap inclusion use the same product-count eligibility decision as metadata, with explicit route policy overrides only where intentional.",yes,no
SRC-004,High,thin content,/policies/*,lib/legal/policies.ts:5; lib/legal/policies.ts:646,Indexable legal pages contain unresolved bracketed business placeholders.,The source flags placeholders and includes provisional grievance officer/contact/address values.,"Visible placeholders undermine legal clarity, trust, and answer-engine reliability on sitemap-listed pages.","Replace every placeholder with approved legal entity, jurisdiction, officer, contact, hours, and address details before launch.",no,yes
SRC-005,Medium,sitemap,/policies/* and static pages,app/sitemap.ts:16,"Static, policy, and keyword sitemap lastmod values use one synthetic 2026-04-27 date.","Rendered policies display later effective dates, including June 29, 2026.",Stale or synthetic freshness signals reduce sitemap accuracy.,Derive lastmod from maintained content timestamps or a route-specific audited constant.,yes,no
SRC-006,Medium,routing,Sold product PDPs,lib/seo/product-indexing.ts:98; lib/seo/product-indexing.ts:128,Sold-product page indexability can diverge from sitemap and llms.txt eligibility.,Discovery files exclude sold products while the page eligibility path uses a different decision.,A sold PDP may remain indexable but disappear from maintained discovery surfaces.,"Choose and document a sold-product retention policy, then reuse one eligibility function across metadata, sitemap, and llms.txt.",no,yes
SRC-007,Medium,schema,Reserved product PDPs,db/inventory.ts:26; lib/seo/json-ld.ts:54,Product Offer availability can disagree with the visible availability after a reservation expires.,The UI resolves expired reservations; Product JSON-LD reads raw stockStatus.,Structured data should match visible product facts.,Feed Product JSON-LD the same effective availability calculation used by the rendered PDP.,yes,no
SRC-008,Medium,sitemap,/[...slug],app/(site)/[...slug]/page.tsx:137; app/sitemap.ts:18,Published CMS catch-all pages are not included by sitemap aggregation.,"The catch-all can serve published database pages; sitemap covers static, policy, keyword, and product lists only.",Future published CMS pages can become indexable without XML discovery and with optional metadata fields.,"Include only published, SEO-complete CMS pages in the sitemap and validate their metadata before publish.",yes,no
SRC-009,Medium,robots,Draft CMS preview,app/(site)/[...slug]/page.tsx,Draft preview noindex behavior is not explicit in the route metadata source.,The catch-all metadata path resolves published metadata and does not visibly branch on draft mode.,"A preview URL should never inherit index, follow if exposed.","Verify preview response headers live and make draft-mode noindex, nofollow explicit if not already enforced upstream.",yes,no
SRC-010,Medium,sitemap,Product discovery files,app/sitemap.ts:18; app/llms.txt/route.ts:47,"Product discovery queries have fixed 1,000-item sitemap and 200-item llms.txt caps before eligibility filtering.",Ineligible rows can consume capacity as the catalogue grows.,Eligible products beyond the cap can silently disappear from discovery files.,Paginate until exhaustion or apply eligibility in the database query before a documented cap.,yes,no
SRC-011,Medium,thin content,/top-viewed,app/(site)/top-viewed/page.tsx:12,Top Viewed is always indexable and sitemap-listed even when it renders an empty result state.,The route supports an empty dataset without a count-based noindex decision.,An empty landing page can become a soft-404 or thin-content signal.,Apply a data threshold or render durable editorial content sufficient for an indexable landing page.,no,yes
SRC-012,Medium,links,Header/footer,components/layout/site-header-server.tsx:14; lib/content/nav-menu.ts:35; components/layout/site-footer.tsx:8,"Navigation has divergent hardcoded, database-managed, and fallback sources of truth.",The active header is hardcoded; the footer fallback differs from a shadowed richer local default.,SEO-critical internal links can differ by runtime data and implementation path.,Define one audited navigation source per slot with a single documented fallback.,yes,no
RND-015,Low,meta,/packing,app/(site)/packing/page.tsx | lib/seo/metadata.ts,Meta-description length is outside the audit guideline.,69 characters.,Unique descriptions improve result clarity and prevent duplicated snippets.,"Review for a unique, factual description around 120-155 characters; do not keyword-stuff.",yes,no
RND-016,Low,meta,/policies/terms-of-service,app/(site)/policies/[slug]/page.tsx | lib/seo/metadata.ts | lib/legal/policies.ts,Meta-description length is outside the audit guideline.,69 characters.,Unique descriptions improve result clarity and prevent duplicated snippets.,"Review for a unique, factual description around 120-155 characters; do not keyword-stuff.",yes,no
RND-017,Low,meta,/policies/cancellation-policy,app/(site)/policies/[slug]/page.tsx | lib/seo/metadata.ts | lib/legal/policies.ts,Meta-description length is outside the audit guideline.,68 characters.,Unique descriptions improve result clarity and prevent duplicated snippets.,"Review for a unique, factual description around 120-155 characters; do not keyword-stuff.",yes,no
RND-018,Low,meta,/policies/sell-with-us-policy,app/(site)/policies/[slug]/page.tsx | lib/seo/metadata.ts | lib/legal/policies.ts,Meta-description length is outside the audit guideline.,69 characters.,Unique descriptions improve result clarity and prevent duplicated snippets.,"Review for a unique, factual description around 120-155 characters; do not keyword-stuff.",yes,no
RND-019,Low,meta,/policies/grievance-redressal,app/(site)/policies/[slug]/page.tsx | lib/seo/metadata.ts | lib/legal/policies.ts,Meta-description length is outside the audit guideline.,63 characters.,Unique descriptions improve result clarity and prevent duplicated snippets.,"Review for a unique, factual description around 120-155 characters; do not keyword-stuff.",yes,no
RND-020,Low,title,/collection/tangerine-noir-floral-border-weave,app/(site)/collection/[slug]/page.tsx | lib/products/product-type.ts | lib/seo/metadata.ts | lib/products/sort.ts | lib/seo/product-indexing.ts | lib/seo/pdp-meta.ts | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | components/product/restock-notify-button.tsx | components/product/wishlist-button.tsx | components/product/recently-viewed.tsx | components/product/product-view-tracker.tsx | components/product/blouse-purchase-controls.tsx | components/product/blouse-size-selector.tsx | components/product/blouse-size-chart-dialog.tsx | components/product/blouse-size-chart-table.tsx | lib/realtime/use-live-product-stock.ts | components/product/product-card.tsx | components/product/product-card-commerce-row.tsx | components/product/product-gallery.tsx,Title length is outside the audit guideline.,77 characters: Tangerine Noir Floral Border Weave – Pre-Loved Chiffon Saree | From The Trunk,Titles are a primary search-result and relevance signal.,Review for clarity around 30-60 characters without truncating required product identity.,yes,no
RND-021,Low,title,/collection/sunset-ombr-chiffon-draped-dream,app/(site)/collection/[slug]/page.tsx | lib/products/product-type.ts | lib/seo/metadata.ts | lib/products/sort.ts | lib/seo/product-indexing.ts | lib/seo/pdp-meta.ts | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | components/product/restock-notify-button.tsx | components/product/wishlist-button.tsx | components/product/recently-viewed.tsx | components/product/product-view-tracker.tsx | components/product/blouse-purchase-controls.tsx | components/product/blouse-size-selector.tsx | components/product/blouse-size-chart-dialog.tsx | components/product/blouse-size-chart-table.tsx | lib/realtime/use-live-product-stock.ts | components/product/product-card.tsx | components/product/product-card-commerce-row.tsx | components/product/product-gallery.tsx,Title length is outside the audit guideline.,78 characters: Sunset Ombré Chiffon Draped Dream – Pre-Loved Georgette Saree | From The Trunk,Titles are a primary search-result and relevance signal.,Review for clarity around 30-60 characters without truncating required product identity.,yes,no
RND-022,Low,title,/collection/forest-flame-tie-dye-silk,app/(site)/collection/[slug]/page.tsx | lib/products/product-type.ts | lib/seo/metadata.ts | lib/products/sort.ts | lib/seo/product-indexing.ts | lib/seo/pdp-meta.ts | lib/seo/json-ld.ts | lib/products/display-details.ts | lib/data/products.ts | lib/cache/product-cache-probe.ts | lib/cache/product-cache.ts | components/product/restock-notify-button.tsx | components/product/wishlist-button.tsx | components/product/recently-viewed.tsx | components/product/product-view-tracker.tsx | components/product/blouse-purchase-controls.tsx | components/product/blouse-size-selector.tsx | components/product/blouse-size-chart-dialog.tsx | components/product/blouse-size-chart-table.tsx | lib/realtime/use-live-product-stock.ts | components/product/product-card.tsx | components/product/product-card-commerce-row.tsx | components/product/product-gallery.tsx,Title length is outside the audit guideline.,67 characters: Forest & Flame Tie Dye Silk – Pre-Loved Silk Saree | From The Trunk,Titles are a primary search-result and relevance signal.,Review for clarity around 30-60 characters without truncating required product identity.,yes,no
