Source URL,External target URL,Domain,Anchor text,rel attributes,nofollow/sponsored/ugc,Opens in new tab?,Link purpose,Issue/risk,Notes
/,https://www.instagram.com/from.thetrunk/,www.instagram.com,Follow From the Trunk on Instagram,noreferrer noopener,none,yes,official social/profile link,,Not fetched; external crawling was prohibited.
/,https://www.linkedin.com/company/from-the-trunk-ftt/,www.linkedin.com,Follow From the Trunk on LinkedIn,noreferrer noopener,none,yes,official social/profile link,,Not fetched; external crawling was prohibited.
/,https://www.facebook.com/people/From-The-Trunk/61590567961822/,www.facebook.com,Follow From the Trunk on Facebook,noreferrer noopener,none,yes,official social/profile link,,Not fetched; external crawling was prohibited.
/,https://x.com/fromthetrunkftt,x.com,Follow From the Trunk on X,noreferrer noopener,none,yes,official social/profile link,,Not fetched; external crawling was prohibited.
/,https://www.threads.com/@from.thetrunk,www.threads.com,Follow From the Trunk on Threads,noreferrer noopener,none,yes,official social/profile link,,Not fetched; external crawling was prohibited.
/,https://wa.me/919731910202,wa.me,Chat with From the Trunk on WhatsApp,noreferrer noopener,none,yes,outbound reference or service link,,Not fetched; external crawling was prohibited.
/,https://www.instagram.com/from.thetrunk/,www.instagram.com,Follow @from.thetrunk,noopener noreferrer,none,yes,official social/profile link,,Not fetched; external crawling was prohibited.
/,https://www.instagram.com/from.thetrunk/,www.instagram.com,RESTORATION@from.thetrunkBefore the drape returns to the wardrobe.,noopener noreferrer,none,yes,official social/profile link,,Not fetched; external crawling was prohibited.
/,https://www.instagram.com/from.thetrunk/,www.instagram.com,"STYLINGOne saree, many ways to carry presence.",noopener noreferrer,none,yes,official social/profile link,,Not fetched; external crawling was prohibited.
/,https://www.instagram.com/from.thetrunk/,www.instagram.com,PROVENANCEThe detail that makes a piece remembered.,noopener noreferrer,none,yes,official social/profile link,,Not fetched; external crawling was prohibited.
/,https://www.instagram.com/from.thetrunk/,www.instagram.com,NEW ARRIVALA quiet statement from the trunk.,noopener noreferrer,none,yes,official social/profile link,,Not fetched; external crawling was prohibited.
/,https://www.instagram.com/from.thetrunk/,www.instagram.com,"CAREPressed, checked, folded, and ready.",noopener noreferrer,none,yes,official social/profile link,,Not fetched; external crawling was prohibited.
/,https://www.instagram.com/from.thetrunk/,www.instagram.com,ARCHIVE@from.thetrunkA restored saree finding its next story.,noopener noreferrer,none,yes,official social/profile link,,Not fetched; external crawling was prohibited.
/,https://www.instagram.com/from.thetrunk/,www.instagram.com,Instagram,,none,no,official social/profile link,,Not fetched; external crawling was prohibited.
/,https://wa.me/919731910202,wa.me,WhatsApp,,none,no,outbound reference or service link,,Not fetched; external crawling was prohibited.
/collection,https://www.instagram.com/from.thetrunk/,www.instagram.com,Follow From the Trunk on Instagram,noreferrer noopener,none,yes,official social/profile link,,Not fetched; external crawling was prohibited.
/collection,https://www.linkedin.com/company/from-the-trunk-ftt/,www.linkedin.com,Follow From the Trunk on LinkedIn,noreferrer noopener,none,yes,official social/profile link,,Not fetched; external crawling was prohibited.
/collection,https://www.facebook.com/people/From-The-Trunk/61590567961822/,www.facebook.com,Follow From the Trunk on Facebook,noreferrer noopener,none,yes,official social/profile link,,Not fetched; external crawling was prohibited.
/collection,https://x.com/fromthetrunkftt,x.com,Follow From the Trunk on X,noreferrer noopener,none,yes,official social/profile link,,Not fetched; external crawling was prohibited.
/collection,https://www.threads.com/@from.thetrunk,www.threads.com,Follow From the Trunk on Threads,noreferrer noopener,none,yes,official social/profile link,,Not fetched; external crawling was prohibited.
/collection,https://wa.me/919731910202,wa.me,Chat with From the Trunk on WhatsApp,noreferrer noopener,none,yes,outbound reference or service link,,Not fetched; external crawling was prohibited.
/top-viewed,https://www.instagram.com/from.thetrunk/,www.instagram.com,Follow From the Trunk on Instagram,noreferrer noopener,none,yes,official social/profile link,,Not fetched; external crawling was prohibited.
/top-viewed,https://www.linkedin.com/company/from-the-trunk-ftt/,www.linkedin.com,Follow From the Trunk on LinkedIn,noreferrer noopener,none,yes,official social/profile link,,Not fetched; external crawling was prohibited.
/top-viewed,https://www.facebook.com/people/From-The-Trunk/61590567961822/,www.facebook.com,Follow From the Trunk on Facebook,noreferrer noopener,none,yes,official social/profile link,,Not fetched; external crawling was prohibited.
/top-viewed,https://x.com/fromthetrunkftt,x.com,Follow From the Trunk on X,noreferrer noopener,none,yes,official social/profile link,,Not fetched; external crawling was prohibited.
/top-viewed,https://www.threads.com/@from.thetrunk,www.threads.com,Follow From the Trunk on Threads,noreferrer noopener,none,yes,official social/profile link,,Not fetched; external crawling was prohibited.
/top-viewed,https://wa.me/919731910202,wa.me,Chat with From the Trunk on WhatsApp,noreferrer noopener,none,yes,outbound reference or service link,,Not fetched; external crawling was prohibited.
/our-story,https://www.instagram.com/from.thetrunk/,www.instagram.com,Follow From the Trunk on Instagram,noreferrer noopener,none,yes,official social/profile link,,Not fetched; external crawling was prohibited.
/our-story,https://www.linkedin.com/company/from-the-trunk-ftt/,www.linkedin.com,Follow From the Trunk on LinkedIn,noreferrer noopener,none,yes,official social/profile link,,Not fetched; external crawling was prohibited.
/our-story,https://www.facebook.com/people/From-The-Trunk/61590567961822/,www.facebook.com,Follow From the Trunk on Facebook,noreferrer noopener,none,yes,official social/profile link,,Not fetched; external crawling was prohibited.
/our-story,https://x.com/fromthetrunkftt,x.com,Follow From the Trunk on X,noreferrer noopener,none,yes,official social/profile link,,Not fetched; external crawling was prohibited.
/our-story,https://www.threads.com/@from.thetrunk,www.threads.com,Follow From the Trunk on Threads,noreferrer noopener,none,yes,official social/profile link,,Not fetched; external crawling was prohibited.
